.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", Barkside Ballers, Vibe-free since '73, Dazed and Confoosballed, Sascha Picks Dogs, The New Mendoza Line, Sherrone Moore's Bad Day, Momma Longhorn, bugaroo, Sierra LeCat Dowdle, Battered Austin Syndrome, Arandas legacy Year, Mama Dawg, NoNND-Bo 1, NoNND-Bo 2, Wisconsin shoud've been here, Bearly Watching, Call Me An Optimist, Down, Eclipse, First Round SIL, #MamaBear, BlueOrRed, Just Call Me Dr., Not So New Guy, Upside, We Pay Players, Game of Throws
   "38", "HOLIDAY BOWL", "Arizona", "SMU", "3.0", "SMU", "Arizona", "SMU", "SMU", "SMU", "Arizona", "SMU", "SMU", "SMU", "SMU", "SMU", "Arizona", "SMU", "SMU", "SMU", "Arizona", "SMU", "Arizona", "SMU", "Arizona", "Arizona", "Arizona", "Arizona", "Arizona", "Arizona", "SMU", "Arizona"
   "39", "CFP Semifinal (Fiesta)", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "0.0", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "Ohio/ATM/Miami", "GA/Ole Miss/Tulane", "Ohio/ATM/Miami", "Ohio/ATM/Miami"
   "40", "CFP Semifinal (Peach)", "Texas Tech/ORE/JM", "Indiana/AL/OK", "0.0", "Indiana/AL/OK", "Indiana/AL/OK", "Texas Tech/ORE/JM", "Indiana/AL/OK", "Indiana/AL/OK", "Texas Tech/ORE/JM", "Texas Tech/ORE/JM", "Texas Tech/ORE/JM", "Texas Tech/ORE/JM", "Texas Tech/ORE/JM", "Indiana/AL/OK", "Indiana/AL/OK", "Texas Tech/ORE/JM", "Indiana/AL/OK", "Texas Tech/ORE/JM", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Indiana/AL/OK", "Texas Tech/ORE/JM"
   "41", "NATIONAL CHAMPIONSHIP", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "0.0", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Peach Bowl", "Winner of Peach Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl", "Winner of Fiesta Bowl"
   "B1", "How many TD's will Marcel Reed run for?", " ", " ", " ", "1", "1", "1", "0", "2", "1", "2", "2", "1", "0", "3", "2", "2", "0", "1", "2", "2", "2", "4", "4", "0", "3", "1", "1", "1", "0", "4"
   "B2", "How many times will Carson Beck be sacked?", " ", " ", " ", "3", "3", "3", "1", "3", "2", "2", "1", "3", "2", "5", "3", "3", "0", "2", "2", "4", "2", "0", "3", "3", "3", "2", "4", "3", "2", "3"
   "B3", "Will JMU score more than 14 points?", " ", " ", " ", "NO", "YES", "NO", "YES", "YES", "NO", "YES", "YES", "YES", "YES", "NO", "NO", "NO", "YES", "YES", "YES", "YES", "YES", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO"

\* *Denotes sure thing bowl*

