.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", Aggies, Beach Bum, Beaver Believer, Bernie Trump, Billy Bad, Billy Bad 2nd, Blind Prognosticators, Blondy, BROCOHLI !!!!!, BUBBA, Captain, Clairvoyantsmith, Corgidawg, Cotton Headed Ninny Muggins, COUGAR, Cowboy, D-bo, Deakins, Devil's Tower, Eclipse, EL CAPITAN, FF , FIELDS OF WHEAT, Frog Man 4Ever, GMen, Go Frogs, GODIVA, Going Bowling, Groodle, GUAC BOYZ, Gussysue, HALF DOME, HAM BEAST, Hou Dat, Hui Mama, Hunter 55, Jake & the Neverland Pirates, JessePinkman, Julia, KROB15, Lucky in 2016, LumberSexual, Magnitogorsk, Mama Bear, Opposite of Dad, Oregon Okie, Perfect Spiral, Pooh, POPO, Rocket Surgeon, Santa Cruz Bill, Shi boa, Slave Darby, Spartans, Spiker, "Steve Harvey's ""Columbia""", Sure Thing, Surf, Tan Mei yi , Team Aaron, Texas State, Texas Women, Texsons, The Force Awakens, Trojans, Trollotopia, TTRedRaider09, West Coast Bias, Yellowstone , Yoda
   "20", "BELK BOWL", "Mississippi St", "NC State", "5.5", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0"
   "21", "MUSIC CITY BOWL", "Louisville", "Texas A&M", "4.5", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "2.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0"
   "22", "HOLIDAY BOWL", "USC", "Wisconsin", "3.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "1.25", "1.25", "1.25", "0.0", "1.25", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "1.25", "0.0", "1.25", "2.25", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "2.25", "0.0", "1.25", "0.0", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25"
   "23", "PEACH BOWL", "Florida State", "Houston", "7.0", "0.0", "1.5", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "1.5", "1.5", "0.0", "0.0", "0.0", "1.5", "1.5", "1.5", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "1.5", "1.5", "0.0", "0.0", "1.5", "1.5", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "1.5", "1.5", "1.5"
   "24", "ORANGE BOWL", "Oklahoma", "Clemson", "3.5", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "0.0", "2.5", "2.5", "2.5", "2.5", "0.0", "0.0", "2.5", "0.0", "0.0", "2.5", "2.5", "0.0", "2.5", "3.5", "2.5", "0.0", "2.5", "2.5", "0.0", "2.5", "2.5", "0.0", "0.0", "3.5", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "2.5", "0.0", "3.5", "2.5", "2.5", "2.5", "0.0", "0.0", "0.0", "2.5", "3.5", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "3.5"
   "25", "COTTON BOWL", "Alabama", "Michigan State", "9.5", "2.0", "2.0", "0.0", "2.0", "3.0", "3.0", "0.0", "2.0", "3.0", "2.0", "3.0", "2.0", "2.0", "0.0", "2.0", "2.0", "0.0", "0.0", "2.0", "3.0", "0.0", "2.0", "2.0", "3.0", "0.0", "0.0", "0.0", "2.0", "0.0", "3.0", "0.0", "2.0", "0.0", "3.0", "0.0", "2.0", "2.0", "2.0", "2.0", "3.0", "2.0", "0.0", "3.0", "0.0", "0.0", "0.0", "3.0", "0.0", "2.0", "2.0", "2.0", "0.0", "3.0", "0.0", "3.0", "2.0", "3.0", "3.0", "2.0", "2.0", "2.0", "3.0", "3.0", "2.0", "3.0", "0.0", "2.0", "3.0", "2.0", "2.0"
   "26", "OUTBACK BOWL", "Tennessee", "Northwestern", "8.5", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "2.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0"
   "27", "FIESTA BOWL", "Ohio State", "Notre Dame", "6.5", "2.0", "0.0", "3.0", "0.0", "2.0", "2.0", "3.0", "2.0", "2.0", "3.0", "3.0", "2.0", "2.0", "0.0", "0.0", "2.0", "2.0", "3.0", "2.0", "2.0", "2.0", "0.0", "2.0", "3.0", "2.0", "0.0", "0.0", "2.0", "0.0", "2.0", "0.0", "2.0", "2.0", "2.0", "2.0", "3.0", "3.0", "0.0", "2.0", "0.0", "2.0", "2.0", "2.0", "2.0", "0.0", "3.0", "3.0", "0.0", "3.0", "2.0", "2.0", "2.0", "2.0", "0.0", "2.0", "2.0", "0.0", "3.0", "3.0", "0.0", "0.0", "2.0", "2.0", "0.0", "2.0", "2.0", "0.0", "2.0", "2.0", "2.0"
   "28", "CITRUS BOWL", "Michigan", "Florida", "4.5", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "2.0", "0.0", "2.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "2.0", "2.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "2.0", "1.0", "2.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "0.0", "2.0", "1.0"
   "29", "ROSE BOWL", "Stanford", "Iowa", "6.5", "3.0", "3.0", "2.0", "3.0", "2.0", "2.0", "2.0", "2.0", "0.0", "2.0", "0.0", "2.0", "2.0", "0.0", "3.0", "3.0", "2.0", "3.0", "0.0", "2.0", "0.0", "2.0", "2.0", "2.0", "2.0", "0.0", "3.0", "2.0", "0.0", "0.0", "2.0", "0.0", "0.0", "0.0", "3.0", "0.0", "3.0", "2.0", "3.0", "0.0", "2.0", "2.0", "0.0", "2.0", "2.0", "2.0", "0.0", "0.0", "0.0", "2.0", "2.0", "3.0", "2.0", "2.0", "3.0", "2.0", "2.0", "2.0", "2.0", "3.0", "3.0", "2.0", "2.0", "3.0", "0.0", "2.0", "0.0", "3.0", "0.0", "3.0"
