#,Bowl Name,Favorite,Underdog,Spread,#MamaBear,Aggie Austin,Badgers Rock!,Barkside Ballers (Wylie & Flapjack),Bear-in-Law,Big 12 Bibby,bugabugaroo,COOKIES,Dazed & Confoosballed,Dbo,em&em,GlamKam,Kylo Bad Dog,LadyLonghorn,MamaDAWG,Manda Panda,Rando Cal Rece Ian,Sascha Picks Dogs,SEC Shipley,Sir Fluffy McFlufferson,The New Guy,WD50

29,Gator Bowl,Clemson,Kentucky,7.0,Clemson,Kentucky,Clemson,Kentucky,Clemson,Clemson,Clemson,Kentucky,Clemson,Kentucky,Clemson,Clemson,Kentucky,Clemson,Clemson,Clemson,Clemson,Kentucky,Kentucky,Clemson,Kentucky,Clemson
30,Sun Bowl,Notre Dame,Oregon State,10.5,Notre Dame,Oregon State,Oregon State,Oregon State,Notre Dame,Notre Dame,Notre Dame,Oregon State,Notre Dame*,Oregon State,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame*,Notre Dame,Oregon State,Notre Dame,Oregon State,Notre Dame,Notre Dame
31,LibertyBowl,Iowa State,Memphis,6.5,Memphis,Memphis,Iowa State,Memphis,Iowa State,Iowa State,Iowa State,Iowa State,Iowa State,Memphis,Iowa State,Iowa State,Memphis*,Memphis,Memphis,Iowa State,Iowa State*,Memphis,Memphis,Iowa State*,Memphis,Iowa State
32,Cotton Bowl,Ohio State,Missouri,2.5,Ohio State,Ohio State,Missouri,Missouri,Ohio State,Ohio State,Missouri,Ohio State,Ohio State,Missouri,Missouri,Missouri,Missouri,Ohio State,Ohio State,Ohio State,Ohio State,Missouri,Ohio State,Ohio State,Missouri,Ohio State
33,Peach Bowl,Penn State,Ole Miss,4.5,Ole Miss,Ole Miss,Penn State,Ole Miss,Penn State,Penn State,Penn State,Ole Miss,Penn State,Ole Miss,Ole Miss*,Ole Miss,Ole Miss,Penn State,Penn State,Penn State,Penn State,Ole Miss,Ole Miss,Penn State,Ole Miss,Ole Miss
34,Music City Bowl,Auburn,Maryland,2.5,Auburn,Auburn,Auburn,Maryland,Auburn,Auburn,Auburn,Maryland,Auburn,Maryland,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,Maryland,Auburn,Maryland,Maryland,Auburn
35,Orange Bowl,Georgia,Florida State,14.0,Georgia*,Georgia,Georgia,Georgia*,Georgia,Georgia*,Georgia,Georgia,Georgia*,Florida State,Georgia*,Georgia*,Florida State,Florida State,Florida State,Georgia*,Florida State,Florida State*,Georgia*,Georgia,Georgia*,Georgia*
36,Arizona Bowl,Toledo,Wyoming,1.5,Wyoming,Wyoming,Toledo,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Toledo,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Toledo,Wyoming,Wyoming,Wyoming,Wyoming,Toledo,Toledo,Wyoming
37,ReliaQuest Bowl,LSU,Wisconsin,10.5,LSU,LSU,Wisconsin,Wisconsin,Wisconsin*,LSU*,LSU,LSU,LSU*,Wisconsin,Wisconsin,LSU,Wisconsin*,Wisconsin,LSU,LSU,LSU,Wisconsin*,LSU*,LSU*,LSU,LSU*
38,Fiesta Bowl,Oregon,Liberty,15.5,Oregon,Oregon,Oregon*,Liberty,Oregon,Oregon,Oregon*,Oregon,Oregon,Liberty,Oregon,Oregon*,Liberty*,Oregon*,Oregon*,Oregon*,Oregon*,Liberty*,Oregon,Oregon*,Oregon*,Oregon
39,Citrus Bowl,Tennessee,Iowa,7.0,Tennessee,Iowa,Tennessee,Iowa,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Iowa,Tennessee,Tennessee,Iowa,Tennessee,Tennessee,Tennessee,Tennessee,Iowa,Tennessee,Tennessee,Tennessee,Tennessee
40,Rose Bowl,Michigan,Alabama,1.5,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Alabama,Michigan*,Michigan,Alabama*,Alabama,Michigan,Michigan,Michigan,Alabama*,Alabama,Michigan,Alabama,Alabama,Alabama,Michigan,Alabama
41,Sugar,Texas,Washington,4.5,Texas,Texas*,Texas,Texas*,Texas,Texas,Texas*,Texas*,Texas,Texas*,Texas*,Texas*,Texas,Texas,Texas*,Texas,Texas,Washington,Washington,Washington,Texas,Texas
B1,Who will win the National Championship?, , , ,Texas,Texas,Michigan,Michigan,Texas,Texas,None,None,Texas,Texas,Texas,Texas,Washington,Michigan,Texas,Texas,Texas,Michigan,Alabama,Alabama,Michigan,Texas
B2,Will more than 62 total points be scored in the Sugar Bowl (Texas vs. Washington)?, , , ,No,No,Yes,No,Yes,Yes,None,None,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
B3,Will Michael Penix pass for more than 309 yards against Texas?, , , ,No,Yes,Yes,No,Yes,Yes,None,None,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
B4,Will more than 44 total points be scored in the Rose Bowl (Michigan vs. Alabama)?, , , ,Yes,Yes,Yes,Yes,Yes,Yes,None,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
B5,Will Jalen Milroe have more than 234 yards of total offense against Michigan?, , , ,Yes,Yes,Yes,Yes,Yes,Yes,None,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes

